"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status"
10299,7200,15.8,"C","C3","4 years",8791,79.9,677,"RENT",56048,"Not Verified"
10300,1800,19.97,"D","D5","10+ years",8338,56.3,672,"RENT",41000,"Not Verified"
10301,8000,13.11,"B","B4","3 years",10453,74.7,682,"RENT",36500,"Not Verified"
10302,10800,13.68,"C","C1","1 year",8905,76.8,672,"RENT",51000,"Source Verified"
10303,2000,17.77,"D","D1","3 years",3538,36.9,677,"MORTGAGE",60000,"Not Verified"
10304,8000,16.29,"C","C4","2 years",5082,61.2,697,"RENT",34000,"Verified"
10305,10400,12.12,"B","B3","7 years",1436,11.2,697,"RENT",58000,"Not Verified"
10306,1200,9.67,"B","B1","10+ years",14199,16.5,782,"OWN",58000,"Not Verified"
10307,5000,17.57,"D","D2","< 1 year",5213,53.2,667,"RENT",23000,"Not Verified"
10308,18000,12.12,"B","B3","< 1 year",16800,61.1,682,"MORTGAGE",156000,"Source Verified"
10309,11200,15.22,"C","C3","6 years",13774,45.5,687,"MORTGAGE",80000,"Verified"
10310,5000,6.03,"A","A1",NA,3293,6,797,"RENT",24000,"Verified"
10311,15000,20.49,"E","E1","9 years",40529,78.4,672,"RENT",65000,"Source Verified"
10312,7500,18.49,"D","D2","< 1 year",7654,66,682,"MORTGAGE",25000,"Source Verified"
10313,3975,11.14,"B","B2","3 years",7253,21.9,702,"RENT",65000,"Verified"
10314,10000,6.62,"A","A2","10+ years",1402,11.2,747,"MORTGAGE",60000,"Not Verified"
10315,10000,14.09,"B","B5","6 years",26850,87.7,677,"MORTGAGE",78000,"Not Verified"
10316,12000,11.14,"B","B2","10+ years",9066,34.5,702,"MORTGAGE",68514,"Not Verified"
10317,35000,17.27,"C","C5","10+ years",16781,34.6,742,"RENT",480000,"Verified"
10318,8000,7.9,"A","A4","4 years",10555,91,732,"MORTGAGE",62000,"Source Verified"
10319,12000,13.11,"B","B4","3 years",20087,78.8,682,"RENT",98000,"Not Verified"
10320,10000,13.05,"B","B5","9 years",8311,81.5,677,"RENT",58000,"Verified"
10321,1200,18.75,"D","D3","1 year",8296,60.1,667,"RENT",35000,"Not Verified"
10322,16800,14.65,"C","C3","10+ years",20975,82.3,692,"MORTGAGE",94000,"Not Verified"
10323,6000,18.49,"D","D2","10+ years",611,76.4,672,"OWN",38000,"Not Verified"
10324,12000,11.14,"B","B2","10+ years",11488,50.8,727,"RENT",40000,"Not Verified"
10325,15000,12.12,"B","B3","7 years",15207,73.1,707,"OWN",120000,"Not Verified"
10326,19200,16.29,"C","C4","10+ years",15360,68,682,"MORTGAGE",93000,"Verified"
10327,5500,9.76,"B","B1","1 year",10697,66.9,692,"RENT",30000,"Not Verified"
10328,25000,9.76,"B","B1","6 years",16873,60.9,732,"RENT",66000,"Verified"
10329,10625,17.1,"C","C5","4 years",10109,50.3,667,"RENT",32000,"Source Verified"
10330,17000,8.9,"A","A5","10+ years",27335,52.6,712,"MORTGAGE",72600,"Not Verified"
10331,10900,10.99,"B","B2","6 years",15312,79.7,697,"RENT",86000,"Not Verified"
10332,4000,11.14,"B","B2","10+ years",31234,62.4,692,"MORTGAGE",59500,"Not Verified"
10333,20000,15.31,"C","C2","10+ years",29493,90.7,687,"MORTGAGE",75000,"Verified"
10334,35000,17.77,"D","D1","10+ years",23312,91.4,687,"MORTGAGE",260000,"Verified"
10335,15000,12.12,"B","B3","10+ years",13470,63.2,702,"MORTGAGE",61252,"Not Verified"
10336,16000,9.71,"B","B1","7 years",22838,74.6,707,"OWN",58000,"Not Verified"
10337,5000,18.75,"D","D3",NA,4944,39.6,667,"MORTGAGE",55000,"Source Verified"
10338,8800,10.99,"B","B2","7 years",9583,35.9,692,"RENT",30000,"Not Verified"
10339,12000,13.11,"B","B4","7 years",14701,88,682,"MORTGAGE",91000,"Not Verified"
10340,12000,14.47,"C","C2","8 years",4671,25.8,667,"MORTGAGE",70000,"Not Verified"
10341,10000,20.2,"D","D5","2 years",7648,83.1,672,"RENT",34440,"Verified"
10342,12000,17.77,"D","D1","1 year",18434,94.1,677,"RENT",40830,"Not Verified"
10343,19200,6.62,"A","A2","1 year",14096,15.7,762,"RENT",85000,"Not Verified"
10344,12000,12.42,"B","B4","< 1 year",21984,85.2,687,"MORTGAGE",120000,"Verified"
10345,8000,10.16,"B","B1","6 years",7838,67.6,687,"MORTGAGE",60000,"Not Verified"
10346,10050,10.99,"B","B2","1 year",4399,29.7,707,"OWN",35000,"Source Verified"
10347,2500,8.9,"A","A5","10+ years",24364,71.7,737,"MORTGAGE",78000,"Not Verified"
10348,5500,15.8,"C","C3","10+ years",11769,89.2,672,"MORTGAGE",20000,"Source Verified"
10349,15000,11.14,"B","B2","10+ years",39498,58.6,667,"MORTGAGE",98000,"Not Verified"
10350,14400,10.74,"B","B2","10+ years",16875,84.8,722,"MORTGAGE",60000,"Verified"
10351,7000,6.03,"A","A1","2 years",5836,13.4,802,"MORTGAGE",117000,"Not Verified"
10352,4950,18.85,"D","D3","8 years",4004,52.7,692,"RENT",45000,"Not Verified"
10353,20000,12.12,"B","B3","6 years",3406,16.5,712,"RENT",70000,"Verified"
10354,12000,10.16,"B","B1","10+ years",12660,57.5,707,"RENT",78000,"Verified"
10355,7800,11.55,"B","B3","1 year",4255,47.3,682,"MORTGAGE",70000,"Verified"
10356,2400,8.9,"A","A5","8 years",26994,72,727,"MORTGAGE",50000,"Not Verified"
10357,12000,10.74,"B","B2","7 years",18530,74.7,722,"RENT",62000,"Source Verified"
10358,11200,6.03,"A","A1","4 years",11976,27.2,767,"MORTGAGE",160000,"Source Verified"
10359,12000,7.9,"A","A4","10+ years",11651,26.8,712,"MORTGAGE",75000,"Source Verified"
10360,35000,10.16,"B","B1","10+ years",1195,4.1,827,"MORTGAGE",125000,"Verified"
10361,9600,15.31,"C","C3","8 years",13550,62.7,677,"MORTGAGE",42600,"Verified"
10362,10350,14.3,"C","C1","1 year",10362,53.4,687,"RENT",62000,"Source Verified"
10363,15000,19.05,"D","D4","7 years",12750,45.7,682,"MORTGAGE",49920,"Verified"
10364,15000,14.09,"B","B5","6 years",12131,87.3,697,"RENT",46000,"Verified"
10365,10400,13.11,"B","B4","6 years",23184,39.3,702,"MORTGAGE",65000,"Verified"
10366,4500,13.67,"B","B5","10+ years",4709,29.8,667,"RENT",36500,"Verified"
10367,14000,8.9,"A","A5","10+ years",21372,72,687,"MORTGAGE",98000,"Source Verified"
10368,16000,7.9,"A","A4","6 years",13875,40.9,712,"MORTGAGE",82000,"Source Verified"
10369,7100,18.55,"D","D2","3 years",8469,73.6,677,"RENT",28000,"Not Verified"
10370,4000,14.33,"C","C1","4 years",1746,23,677,"MORTGAGE",73000,"Not Verified"
10371,24000,17.27,"C","C5","3 years",14240,56.1,687,"MORTGAGE",180000,"Verified"
10372,10000,12.12,"B","B3","5 years",10125,68.4,712,"RENT",55000,"Not Verified"
10373,2700,14.33,"C","C2",NA,26734,94.1,682,"MORTGAGE",48000,"Verified"
10374,8000,14.65,"C","C2","5 years",11095,78.1,672,"MORTGAGE",72000,"Verified"
10375,7000,15.31,"C","C2","< 1 year",7918,65.4,667,"RENT",62000,"Not Verified"
10376,16000,6.62,"A","A2","2 years",37867,87.8,727,"RENT",122000,"Not Verified"
10377,18075,11.14,"B","B2","3 years",25989,64,697,"RENT",65000,"Source Verified"
10378,7200,15.88,"C","C4","9 years",3601,22.5,702,"RENT",36000,"Not Verified"
10379,8000,17.77,"D","D1","8 years",5426,67,662,"RENT",48000,"Not Verified"
10380,10000,11.14,"B","B2",NA,10392,67.5,702,"RENT",58518,"Verified"
10381,8000,18.49,"D","D2","3 years",1760,21.5,672,"RENT",61232,"Verified"
10382,24000,6.03,"A","A1","2 years",4863,7.1,817,"RENT",250000,"Source Verified"
10383,14350,19.05,"D","D4","9 years",23901,79.9,662,"OWN",61000,"Verified"
10384,10000,13.67,"B","B5","10+ years",26428,65.9,712,"MORTGAGE",119000,"Not Verified"
10385,16000,9.99,"B","B1","2 years",21525,62.9,692,"MORTGAGE",61000,"Source Verified"
10386,8000,7.62,"A","A3","10+ years",4660,30.3,727,"MORTGAGE",80000,"Not Verified"
10387,15000,6.62,"A","A2","5 years",149048,20,752,"MORTGAGE",283000,"Verified"
10388,10000,6.62,"A","A2","4 years",3825,10.9,747,"MORTGAGE",65000,"Not Verified"
10389,7000,8.9,"A","A5","5 years",7604,61.3,702,"MORTGAGE",80000,"Not Verified"
10390,21000,7.9,"A","A4","8 years",14229,62.1,722,"MORTGAGE",137000,"Not Verified"
10391,7500,17.27,"C","C5","10+ years",24513,98.8,707,"RENT",125000,"Source Verified"
10392,9950,16.2,"C","C4","2 years",9552,65,682,"MORTGAGE",43000,"Not Verified"
10393,9000,6.62,"A","A2","10+ years",19440,51.7,782,"MORTGAGE",125000,"Verified"
10394,3000,15.31,"C","C3","5 years",4898,59.7,667,"RENT",53000,"Source Verified"
10395,3900,15.31,"C","C2","< 1 year",14054,73.2,662,"RENT",30000,"Not Verified"
10396,14000,20.31,"D","D5",NA,1230,20.2,677,"OWN",61000,"Verified"
10397,3500,13.11,"B","B4","4 years",26401,79.5,687,"MORTGAGE",86000,"Not Verified"
10398,12000,12.99,"B","B4","10+ years",10263,66.2,672,"RENT",42000,"Verified"
10399,17050,15.8,"C","C3","10+ years",5617,51.1,677,"OWN",41600,"Verified"
10400,2325,12.12,"B","B3","10+ years",7362,38.5,697,"MORTGAGE",62000,"Not Verified"
10401,5000,18.55,"D","D2","4 years",5215,74.5,672,"RENT",80000,"Verified"
10402,6000,12.35,"B","B4","3 years",5013,35.3,702,"RENT",24000,"Not Verified"
10403,9600,13.99,"C","C1","10+ years",10059,78,687,"MORTGAGE",52000,"Not Verified"
10404,9000,12.12,"B","B3","10+ years",2339,21.9,712,"MORTGAGE",33280,"Not Verified"
10405,9325,11.14,"B","B2",NA,14702,84.5,702,"RENT",28000,"Verified"
10406,9650,11.55,"B","B3","10+ years",10864,56.6,672,"MORTGAGE",80000,"Not Verified"
10407,2400,7.9,"A","A4","7 years",161,1.2,762,"RENT",45000,"Source Verified"
10408,12000,15.31,"C","C2","10+ years",27181,77,682,"RENT",54000,"Source Verified"
10409,10000,12.35,"B","B4","8 years",8900,30.8,667,"OWN",34000,"Not Verified"
10410,9000,14.09,"B","B5","5 years",11755,69.6,672,"RENT",1e+05,"Not Verified"
10411,11500,15.61,"C","C3","9 years",6494,94.1,667,"MORTGAGE",50800,"Verified"
10412,12000,12.12,"B","B3","10+ years",12452,90.2,667,"MORTGAGE",69000,"Not Verified"
10413,21000,7.9,"A","A4","10+ years",10903,53.7,692,"MORTGAGE",86000,"Not Verified"
10414,12000,17.27,"C","C5","2 years",10713,68.1,677,"MORTGAGE",60000,"Verified"
10415,25000,7.62,"A","A3","5 years",47,0.1,747,"RENT",77093,"Source Verified"
10416,18000,11.14,"B","B2","7 years",12832,67.5,692,"RENT",61000,"Source Verified"
10417,10000,15.31,"C","C2","10+ years",11181,94,662,"RENT",75000,"Verified"
10418,3500,15.22,"C","C3","1 year",5519,61.3,672,"RENT",55000,"Not Verified"
10419,10000,11.14,"B","B2","10+ years",29065,65.5,692,"MORTGAGE",45000,"Not Verified"
10420,11000,11.55,"B","B3","2 years",11573,35,672,"MORTGAGE",95000,"Not Verified"
10421,12000,16.29,"C","C4","5 years",16430,89,677,"RENT",50000,"Not Verified"
10422,21000,6.03,"A","A1","10+ years",75575,50.7,752,"MORTGAGE",158000,"Source Verified"
10423,12000,13.11,"B","B4","7 years",12670,44.5,662,"MORTGAGE",43000,"Source Verified"
10424,7000,18.85,"D","D3","10+ years",40951,78.8,672,"MORTGAGE",65000,"Verified"
10425,20000,12.99,"B","B4","10+ years",17432,44.9,692,"MORTGAGE",110000,"Source Verified"
10426,8000,13.99,"C","C1","10+ years",9654,78.9,687,"MORTGAGE",45900,"Source Verified"
10427,20000,6.03,"A","A1","10+ years",33724,19.9,782,"MORTGAGE",1e+05,"Verified"
10428,14400,15.31,"C","C2","10+ years",10332,47.4,662,"MORTGAGE",78000,"Not Verified"
10429,9300,13.99,"C","C1","1 year",13859,65.1,687,"OWN",37000,"Source Verified"
10430,18000,18.49,"D","D2","< 1 year",14094,76.6,667,"MORTGAGE",61400,"Verified"
10431,6075,17.27,"C","C5","7 years",8984,81.7,677,"OWN",30000,"Verified"
10432,35000,17.99,"D","D2","10+ years",97310,91.8,717,"MORTGAGE",170000,"Verified"
10433,6400,6.62,"A","A2","7 years",6813,38.7,747,"MORTGAGE",54500,"Not Verified"
10434,10625,17.77,"D","D1",NA,13069,59.1,667,"RENT",70000,"Source Verified"
10435,14975,8.9,"A","A5","10+ years",11337,70.9,717,"MORTGAGE",91000,"Source Verified"
10436,12000,12.35,"B","B4","4 years",5734,74.5,687,"RENT",45000,"Verified"
10437,6000,12.12,"B","B3","7 years",21775,76.2,682,"RENT",96000,"Not Verified"
10438,7500,10.16,"B","B1","10+ years",10421,43.2,712,"MORTGAGE",46000,"Verified"
10439,8500,12.12,"B","B3",NA,8107,83.6,697,"MORTGAGE",63000,"Verified"
10440,28000,8.9,"A","A5","10+ years",19798,24.9,702,"MORTGAGE",80000,"Verified"
10441,18000,15.81,"C","C4","2 years",14511,81.5,682,"RENT",112000,"Not Verified"
10442,8000,17.27,"D","D1","4 years",1877,93.8,677,"RENT",42000,"Source Verified"
10443,6000,6.03,"A","A1","10+ years",6600,14.5,717,"MORTGAGE",35000,"Not Verified"
10444,18225,10.16,"B","B1","10+ years",40830,53.4,677,"MORTGAGE",75000,"Verified"
10445,10000,17.27,"C","C5","8 years",11694,82.4,667,"RENT",54000,"Verified"
10446,20000,17.56,"D","D1","9 years",25577,96.9,702,"RENT",72500,"Verified"
10447,8500,10.16,"B","B1","10+ years",16241,46.3,712,"RENT",25000,"Not Verified"
10448,20000,17.77,"D","D1","2 years",18036,72.1,682,"RENT",67000,"Verified"
10449,10925,14.33,"C","C2","10+ years",26779,90.8,662,"OWN",62000,"Not Verified"
10450,18000,17.27,"D","D1","6 years",24635,79,672,"MORTGAGE",125000,"Not Verified"
10451,7000,19.52,"D","D4","5 years",7181,24.1,662,"MORTGAGE",115000,"Not Verified"
10452,7000,15.88,"C","C4","2 years",11382,93.3,662,"MORTGAGE",88000,"Not Verified"
10453,15000,11.99,"B","B3",NA,8381,45.8,682,"RENT",48852.92,"Source Verified"
10454,8000,7.62,"A","A3","10+ years",7992,16.8,707,"MORTGAGE",79000,"Source Verified"
10455,16000,7.62,"A","A3","10+ years",19365,29.1,697,"MORTGAGE",107000,"Verified"
10456,14000,6.62,"A","A2","10+ years",14987,24,767,"MORTGAGE",90000,"Not Verified"
10457,5000,15.31,"C","C2","7 years",26254,77.9,672,"MORTGAGE",84000,"Not Verified"
10458,6400,11.14,"B","B2","2 years",33890,86.2,692,"RENT",150000,"Verified"
10459,12000,15.31,"C","C2","10+ years",4464,79.7,667,"MORTGAGE",50000,"Source Verified"
10460,6000,20.49,"E","E1","< 1 year",5146,42.9,687,"RENT",50000,"Source Verified"
10461,5600,13.67,"B","B5","10+ years",26304,56.1,682,"OWN",67000,"Source Verified"
10462,3000,12.99,"B","B4","10+ years",3073,78.8,677,"OWN",50000,"Not Verified"
10463,6075,12.12,"B","B3","4 years",3053,57.6,687,"RENT",33198,"Verified"
10464,12500,15.31,"C","C2","5 years",21443,46.8,697,"MORTGAGE",75000,"Not Verified"
10465,10000,11.14,"B","B2","< 1 year",18020,82.3,702,"MORTGAGE",45000,"Source Verified"
10466,7200,15.61,"C","C3","10+ years",6465,66,687,"MORTGAGE",65000,"Verified"
10467,22000,7.9,"A","A4","5 years",23979,62.1,737,"RENT",45000,"Verified"
10468,12000,11.14,"B","B2","2 years",4933,79.6,717,"RENT",40267.5,"Verified"
10469,18000,8.9,"A","A5","< 1 year",13813,72.7,742,"MORTGAGE",81823,"Source Verified"
10470,18000,15.61,"C","C3","< 1 year",17629,78.4,672,"RENT",150000,"Verified"
10471,16000,8.9,"A","A5","6 years",4529,7.9,747,"MORTGAGE",80000,"Not Verified"
10472,4425,12.99,"B","B4","< 1 year",24716,40.2,712,"MORTGAGE",250000,"Verified"
10473,4200,10.99,"B","B2","6 years",18960,53.6,707,"MORTGAGE",43000,"Not Verified"
10474,15000,8.9,"A","A5","5 years",28780,38.1,747,"RENT",60000,"Not Verified"
10475,6100,18.49,"D","D2","10+ years",4737,49.9,662,"RENT",55000,"Source Verified"
10476,5000,6.03,"A","A1","2 years",3584,15.6,767,"RENT",45000,"Source Verified"
10477,12000,10.16,"B","B1","8 years",16949,58,682,"MORTGAGE",95000,"Not Verified"
10478,10000,22.2,"E","E4","5 years",10561,41.6,677,"OWN",50000,"Source Verified"
10479,6000,15.22,"C","C3","10+ years",17885,86.4,662,"MORTGAGE",60000,"Verified"
10480,6000,16.78,"C","C5","6 years",15539,43,707,"MORTGAGE",1e+05,"Source Verified"
10481,12000,9.71,"B","B1","10+ years",5385,12,792,"MORTGAGE",58000,"Source Verified"
10482,15000,16.29,"C","C4","9 years",12084,68.3,682,"RENT",60000,"Source Verified"
10483,14750,15.8,"C","C3","5 years",2872,21.8,697,"RENT",50000,"Source Verified"
10484,4000,11.14,"B","B2","10+ years",30339,65.5,702,"MORTGAGE",50000,"Not Verified"
10485,15500,13.67,"B","B5","4 years",15242,73.9,687,"RENT",31200,"Verified"
10486,10000,14.09,"B","B5","2 years",9673,72.7,667,"RENT",45000,"Not Verified"
10487,12000,19.52,"D","D4","7 years",4327,23,677,"MORTGAGE",60000,"Not Verified"
10488,15000,8.9,"A","A5","2 years",9123,34,682,"RENT",52000,"Not Verified"
10489,3000,19.52,"D","D4","10+ years",19497,78.6,697,"MORTGAGE",55000,"Source Verified"
10490,3500,13.11,"B","B4","2 years",11225,32.1,667,"MORTGAGE",47928,"Not Verified"
10491,6000,19.05,"D","D4","3 years",3455,43.2,662,"RENT",112000,"Verified"
10492,10000,15.31,"C","C2","7 years",16928,65.4,672,"RENT",61000,"Not Verified"
10493,24000,6.62,"A","A2","5 years",41578,40.6,717,"MORTGAGE",110000,"Not Verified"
10494,20000,17.77,"D","D1","3 years",24455,68.9,677,"MORTGAGE",65000,"Source Verified"
10495,5000,13.05,"B","B5","8 years",8482,32.5,712,"RENT",35000,"Not Verified"
10496,17000,14.09,"B","B5","4 years",16605,66.4,687,"RENT",60000,"Verified"
10497,20000,13.67,"B","B5","7 years",21379,82.2,717,"MORTGAGE",80000,"Verified"
10498,7450,12.12,"B","B3",NA,5715,58.3,682,"OWN",34000,"Source Verified"
10499,24000,14.09,"B","B5","8 years",22096,33.6,702,"RENT",2e+05,"Source Verified"
10500,22000,12.12,"B","B3","1 year",14748,37.8,707,"RENT",90000,"Verified"
10501,30000,17.99,"D","D2","4 years",30815,72,702,"MORTGAGE",98225,"Verified"
10502,6725,15.8,"C","C3","7 years",1275,5.4,737,"MORTGAGE",75000,"Source Verified"
10503,10000,10.16,"B","B1","6 years",27467,41.4,712,"MORTGAGE",75000,"Not Verified"
10504,7300,15.31,"C","C2","10+ years",6070,72.3,672,"RENT",67000,"Not Verified"
10505,28000,8.9,"A","A5","3 years",522,1,767,"OWN",120000,"Verified"
10506,20000,12.12,"B","B3","3 years",17133,52.9,702,"RENT",78106,"Not Verified"
10507,8000,12.42,"B","B4","10+ years",11192,67.7,682,"RENT",35000,"Not Verified"
10508,5600,6.03,"A","A1","10+ years",2804,5.3,817,"MORTGAGE",95000,"Source Verified"
10509,11000,8.9,"A","A5","7 years",4272,18.8,742,"MORTGAGE",70000,"Not Verified"
10510,4800,13.67,"B","B5","10+ years",9935,41.6,672,"RENT",46000,"Not Verified"
10511,7200,16.2,"C","C4","10+ years",13421,51.2,677,"RENT",53000,"Not Verified"
10512,17325,19.05,"D","D4","10+ years",11482,71.8,667,"MORTGAGE",85000,"Verified"
10513,14800,18.75,"D","D3","5 years",14186,84.9,682,"MORTGAGE",38000,"Verified"
10514,12000,12.12,"B","B3","1 year",34833,62.2,677,"OWN",95000,"Not Verified"
10515,6400,15.61,"C","C3","3 years",4059,64.4,667,"RENT",98000,"Not Verified"
10516,12000,7.62,"A","A3","3 years",9629,34.4,742,"RENT",58000,"Not Verified"
10517,7200,14.09,"B","B5","3 years",9406,66.2,687,"RENT",48000,"Not Verified"
10518,13200,12.12,"B","B3","10+ years",30208,87.3,677,"MORTGAGE",54000,"Verified"
10519,21500,8.9,"A","A5","3 years",30768,82.9,672,"MORTGAGE",81481,"Source Verified"
10520,10000,12.99,"B","B4","2 years",17774,72.3,672,"OWN",60000,"Not Verified"
10521,19200,13.11,"B","B4","10+ years",10537,72.2,697,"OWN",58084.38,"Not Verified"
10522,24450,17.27,"C","C5","10+ years",25493,46.3,692,"OWN",62000,"Verified"
10523,16950,12.35,"B","B4","6 years",1308,6.7,697,"RENT",116000,"Not Verified"
10524,22250,12.12,"B","B3","10+ years",31353,66.6,667,"RENT",50000,"Verified"
10525,9600,15.31,"C","C2","1 year",8415,75.8,682,"RENT",60000,"Not Verified"
10526,11700,12.12,"B","B3","10+ years",10252,47.7,687,"MORTGAGE",40000,"Verified"
10527,12875,21.15,"E","E2","5 years",12323,92.3,662,"MORTGAGE",45000,"Verified"
10528,12000,14.09,"B","B5","10+ years",19799,92.5,677,"RENT",57975.65,"Not Verified"
10529,3500,11.14,"B","B2","7 years",2355,27.7,737,"RENT",50000,"Not Verified"
10530,14000,10.16,"B","B1","10+ years",13916,65.3,732,"MORTGAGE",50000,"Verified"
10531,12000,10.16,"B","B1","10+ years",5679,58.5,722,"MORTGAGE",1e+05,"Not Verified"
10532,1200,12.12,"B","B3","< 1 year",11929,68.1,682,"RENT",48500,"Source Verified"
10533,11650,9.76,"B","B1","10+ years",10510,56.5,707,"MORTGAGE",70720,"Verified"
10534,11275,13.11,"B","B4","2 years",7963,37.8,677,"RENT",42500,"Not Verified"
10535,10000,11.14,"B","B2","10+ years",4002,42.1,722,"OWN",55000,"Not Verified"
10536,6000,15.31,"C","C2","8 years",4444,76.6,662,"RENT",60000,"Verified"
10537,8000,13.11,"B","B4","1 year",9597,18.2,702,"RENT",50000,"Not Verified"
10538,5000,6.03,"A","A1","10+ years",6328,9.9,792,"MORTGAGE",45000,"Not Verified"
10539,35000,7.9,"A","A4","4 years",6876,5.5,817,"OWN",90000,"Source Verified"
10540,30000,14.33,"C","C1","3 years",26260,76.8,692,"MORTGAGE",250000,"Source Verified"
10541,10000,17.76,"D","D1","10+ years",12637,66.2,677,"RENT",55200,"Verified"
10542,21200,10.16,"B","B1","10+ years",37697,57.6,732,"MORTGAGE",53000,"Verified"
10543,7200,15.31,"C","C3","3 years",8959,67.9,677,"RENT",50000,"Not Verified"
10544,24000,13.11,"B","B4","1 year",21884,44.8,707,"RENT",72000,"Verified"
10545,4800,17.77,"D","D1","< 1 year",10036,97.4,677,"RENT",22000,"Source Verified"
10546,23500,10.64,"B","B2","4 years",12315,21.5,712,"RENT",76500,"Verified"
10547,8325,21,"E","E2","4 years",7805,29.6,692,"OWN",64000,"Not Verified"
10548,14000,18.85,"D","D3","7 years",5034,86.8,662,"RENT",47000,"Not Verified"
10549,16000,11.14,"B","B2","6 years",19681,71.3,697,"OWN",65000,"Verified"
10550,9250,8.9,"A","A5","4 years",20040,62.8,717,"RENT",50000,"Source Verified"
10551,2000,20.31,"D","D5","2 years",4059,52,687,"RENT",65000,"Source Verified"
10552,6000,14.33,"C","C1","1 year",18319,84.5,667,"RENT",60000,"Not Verified"
10553,8000,7.9,"A","A4","10+ years",8621,18.3,722,"MORTGAGE",110000,"Verified"
10554,15200,11.99,"B","B3","10+ years",13752,79,667,"MORTGAGE",90000,"Source Verified"
10555,6000,17.27,"C","C5","9 years",11835,84.5,667,"RENT",35000,"Verified"
10556,16000,7.9,"A","A4","9 years",16314,65,762,"MORTGAGE",95000,"Not Verified"
10557,10000,6.62,"A","A2","10+ years",3108,6.8,767,"MORTGAGE",94900,"Source Verified"
10558,8800,18.49,"D","D2","6 years",3094,4.8,712,"RENT",36842,"Verified"
10559,5000,14.33,"C","C2","10+ years",3589,28.3,682,"RENT",70000,"Source Verified"
10560,18250,8.9,"A","A5","4 years",16072,46.9,737,"RENT",41600,"Verified"
10561,10000,10.64,"B","B2","4 years",12367,78.4,682,"MORTGAGE",50000,"Verified"
10562,7000,17.77,"D","D1","10+ years",19287,72.2,667,"MORTGAGE",160000,"Not Verified"
10563,35000,7.9,"A","A4","10+ years",70522,40.7,757,"MORTGAGE",90000,"Source Verified"
10564,8325,17.27,"C","C5","7 years",7488,64.6,677,"MORTGAGE",25000,"Not Verified"
10565,10050,20.2,"D","D5","< 1 year",14989,90.8,667,"RENT",29120,"Not Verified"
10566,1000,12.35,"B","B4","2 years",2926,37.5,672,"RENT",125000,"Verified"
10567,4000,18.49,"D","D2","10+ years",14015,90.4,662,"MORTGAGE",67000,"Verified"
10568,3600,16.78,"C","C5","< 1 year",11375,88.9,687,"RENT",185000,"Not Verified"
10569,5000,14.09,"B","B5","10+ years",3723,66.5,682,"MORTGAGE",49800,"Not Verified"
10570,10000,12.12,"B","B3","10+ years",5554,89.6,692,"RENT",36000,"Source Verified"
10571,13000,13.67,"B","B5","4 years",2952,50,667,"RENT",68000,"Source Verified"
10572,1500,21,"E","E2",NA,1080,36,672,"RENT",23914.8,"Verified"
10573,14300,8.9,"A","A5","7 years",8610,71.2,722,"OWN",36500,"Not Verified"
10574,10000,17.27,"C","C5","6 years",9082,45.9,687,"MORTGAGE",61700,"Not Verified"
10575,9000,14.33,"C","C1","2 years",4445,23.4,702,"RENT",26000,"Not Verified"
10576,10575,11.14,"B","B2","3 years",10320,46.3,717,"RENT",60000,"Verified"
10577,21725,6.03,"A","A1","10+ years",43239,51.7,717,"MORTGAGE",91000,"Verified"
10578,8400,7.9,"A","A4","< 1 year",2782,12.8,782,"RENT",85000,"Not Verified"
10579,12000,10.16,"B","B1","5 years",10187,74.4,692,"MORTGAGE",46000,"Verified"
10580,24000,14.3,"C","C1","2 years",26609,37.8,742,"MORTGAGE",2e+05,"Verified"
10581,6000,17.27,"C","C5","10+ years",14821,74.9,662,"MORTGAGE",60000,"Verified"
10582,16000,6.03,"A","A1","10+ years",16884,42.4,782,"MORTGAGE",65000,"Source Verified"
10583,10000,12.35,"B","B4","10+ years",6924,64.7,692,"MORTGAGE",66000,"Verified"
10584,5000,12.12,"B","B3","10+ years",3396,22.8,672,"MORTGAGE",67000,"Not Verified"
10585,6000,7.9,"A","A4","10+ years",1112,34.7,747,"MORTGAGE",72000,"Not Verified"
10586,21000,7.62,"A","A3","1 year",84268,86.5,712,"MORTGAGE",160000,"Not Verified"
10587,22325,22.47,"E","E5","4 years",34884,95.6,677,"RENT",71460,"Source Verified"
10588,12000,13.11,"B","B4","7 years",11750,50.8,682,"MORTGAGE",175000,"Not Verified"
10589,17625,15.8,"C","C3","4 years",12699,48.5,692,"RENT",45000,"Not Verified"
10590,18000,14.33,"C","C1","10+ years",37070,81.3,677,"MORTGAGE",135000,"Verified"
10591,12000,13.67,"B","B5","10+ years",11709,85.6,702,"RENT",54000,"Source Verified"
10592,32875,16.2,"C","C4","10+ years",25934,53.1,692,"RENT",110000,"Verified"
10593,22800,18.25,"D","D3","5 years",40472,51.3,677,"OWN",60000,"Verified"
10594,2900,12.12,"B","B3","1 year",2899,85.3,677,"RENT",50000,"Not Verified"
10595,25475,15.8,"C","C3","< 1 year",2352,51.1,707,"RENT",65000,"Source Verified"
10596,12400,13.11,"B","B4","4 years",9706,95.2,697,"RENT",46992,"Source Verified"
10597,8500,10.16,"B","B1","4 years",8611,54.5,707,"MORTGAGE",42500,"Verified"
10598,15000,16.2,"C","C4","10+ years",9180,41.7,662,"RENT",70000,"Verified"
