"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status","loan_status","default"
1016,1200,20.31,"D","D5","10+ years",512,46.5,697,"RENT",75000,"Verified","Fully Paid","Paid"
1017,12000,14.3,"C","C1","6 years",7535,61.3,667,"MORTGAGE",46000,"Verified","Fully Paid","Paid"
1018,12600,7.62,"A","A3","8 years",23448,70.2,712,"MORTGAGE",90000,"Not Verified","Fully Paid","Paid"
1019,15200,10.16,"B","B1","< 1 year",16214,38,732,"MORTGAGE",45000,"Not Verified","Fully Paid","Paid"
1020,34475,7.9,"A","A4","3 years",5463,21.8,757,"RENT",77200,"Verified","Fully Paid","Paid"
1021,4800,15.31,"C","C2",NA,4144,72.7,667,"OWN",19344,"Not Verified","Fully Paid","Paid"
1022,4000,23.4,"E","E5","10+ years",1439,8.9,682,"RENT",48000,"Not Verified","Fully Paid","Paid"
1023,7000,7.9,"A","A4","10+ years",18317,30.3,727,"MORTGAGE",185000,"Not Verified","Fully Paid","Paid"
1024,9450,18.55,"D","D2","3 years",5795,38.9,687,"MORTGAGE",28000,"Not Verified","Charged Off","Defaulted"
1025,8975,11.14,"B","B2","10+ years",32362,65.6,697,"MORTGAGE",49000,"Verified","Fully Paid","Paid"
1026,16000,13.11,"B","B4","4 years",10495,52.5,717,"MORTGAGE",90000,"Verified","Fully Paid","Paid"
1027,9925,10.64,"B","B2","10+ years",4226,43.1,672,"MORTGAGE",29700,"Not Verified","Fully Paid","Paid"
1028,20000,18.49,"D","D2","< 1 year",14289,81.7,692,"RENT",75000,"Verified","Charged Off","Defaulted"
1029,9050,9.25,"A","A5",NA,10848,19.2,707,"MORTGAGE",34000,"Verified","Fully Paid","Paid"
1030,20950,19.22,"D","D5","10+ years",52351,80.3,667,"MORTGAGE",120000,"Verified","Fully Paid","Paid"
1031,13250,12.35,"B","B4","10+ years",3891,40.5,702,"RENT",83000,"Not Verified","Fully Paid","Paid"
1032,24000,6.62,"A","A2","< 1 year",30438,56.9,722,"OWN",95000,"Not Verified","Fully Paid","Paid"
1033,1000,7.62,"A","A3","1 year",969,28.5,752,"RENT",16800,"Not Verified","Fully Paid","Paid"
1034,12000,13.68,"C","C1","1 year",22590,83.6,702,"RENT",90000,"Not Verified","Fully Paid","Paid"
1035,4500,13.11,"B","B4","< 1 year",3619,50.3,672,"RENT",22000,"Source Verified","Fully Paid","Paid"
1036,21600,8.9,"A","A5","10+ years",12077,50.3,737,"MORTGAGE",65000,"Verified","Fully Paid","Paid"
1037,6000,15.1,"C","C2","5 years",17814,87.3,697,"MORTGAGE",51000,"Verified","Fully Paid","Paid"
1038,4000,19.97,"D","D5","< 1 year",7194,93.4,677,"RENT",35000,"Not Verified","Charged Off","Defaulted"
1039,8500,13.05,"B","B5","6 years",7295,54.8,682,"RENT",45000,"Not Verified","Fully Paid","Paid"
1040,32000,15.1,"C","C2",NA,36186,60.5,677,"MORTGAGE",116500,"Verified","Fully Paid","Paid"
1041,22000,15.8,"C","C3","10+ years",101255,33.5,747,"MORTGAGE",101000,"Verified","Fully Paid","Paid"
1042,13000,19.05,"D","D4","10+ years",18659,87.6,667,"RENT",65000,"Verified","Fully Paid","Paid"
1043,9250,8.9,"A","A5","10+ years",24405,40.9,717,"OWN",26769.6,"Verified","Fully Paid","Paid"
1044,10625,19.99,"E","E1","10+ years",30017,62.9,702,"MORTGAGE",50000,"Verified","Fully Paid","Paid"
1045,16000,7.62,"A","A3","< 1 year",19583,64.2,717,"MORTGAGE",1e+05,"Not Verified","Fully Paid","Paid"
1046,24375,6.62,"A","A2","10+ years",27859,69,717,"MORTGAGE",90000,"Verified","Fully Paid","Paid"
1047,11500,13.99,"C","C1","7 years",11939,65.8,672,"RENT",24000,"Source Verified","Fully Paid","Paid"
1048,8000,10.16,"B","B1","8 years",21907,72.3,707,"MORTGAGE",65000,"Source Verified","Fully Paid","Paid"
1049,3500,6.62,"A","A2","3 years",331,3.3,777,"RENT",52000,"Not Verified","Fully Paid","Paid"
1050,5000,17.77,"D","D1","< 1 year",3187,74.1,662,"RENT",31000,"Source Verified","Fully Paid","Paid"
1051,2400,19.52,"D","D4",NA,10913,41.5,667,"RENT",75000,"Verified","Fully Paid","Paid"
1052,5175,7.9,"A","A4","< 1 year",6541,70.2,722,"RENT",75000,"Source Verified","Charged Off","Defaulted"
1053,11000,7.62,"A","A3",NA,10051,53.7,742,"RENT",75000,"Verified","Fully Paid","Paid"
1054,4000,17.76,"D","D1","< 1 year",47378,69.2,672,"RENT",75000,"Verified","Fully Paid","Paid"
1055,5000,15.88,"C","C4","5 years",6553,25,677,"RENT",45000,"Source Verified","Charged Off","Defaulted"
1056,7200,21.7,"E","E2","1 year",8242,63.9,677,"RENT",35000,"Not Verified","Charged Off","Defaulted"
1057,25000,8.9,"A","A5","5 years",8464,23.3,772,"MORTGAGE",80000,"Source Verified","Fully Paid","Paid"
1058,19425,17.99,"D","D2","2 years",3887,76.2,677,"MORTGAGE",39600,"Verified","Charged Off","Defaulted"
1059,35000,17.77,"D","D1","10+ years",37001,49.8,717,"RENT",250000,"Source Verified","Fully Paid","Paid"
1060,12000,14.09,"B","B5","6 years",10475,63.5,692,"OWN",80000,"Not Verified","Fully Paid","Paid"
1061,7875,20.2,"D","D5","10+ years",4856,43.4,667,"RENT",24000,"Verified","Fully Paid","Paid"
1062,8875,15.22,"C","C3","4 years",26262,82.6,702,"MORTGAGE",54000,"Not Verified","Fully Paid","Paid"
1063,5000,16.29,"C","C4","10+ years",27812,90.3,662,"MORTGAGE",71000,"Source Verified","Fully Paid","Paid"
1064,22500,13.11,"B","B4","10+ years",18248,69.6,682,"RENT",115000,"Not Verified","Fully Paid","Paid"
1065,15875,19.05,"D","D4","< 1 year",9079,63,662,"RENT",36000,"Verified","Fully Paid","Paid"
1066,10000,10.99,"B","B2","< 1 year",6331,64.6,692,"RENT",50000,"Not Verified","Fully Paid","Paid"
1067,3000,12.12,"B","B3","1 year",6892,33.5,692,"RENT",40000,"Not Verified","Fully Paid","Paid"
1068,4000,19.52,"D","D4","10+ years",14969,57.1,697,"MORTGAGE",50000,"Verified","Fully Paid","Paid"
1069,12000,20.31,"D","D5","1 year",8374,56.6,667,"MORTGAGE",57000,"Verified","Fully Paid","Paid"
1070,15000,17.57,"D","D2","3 years",7478,61.3,702,"RENT",60000,"Not Verified","Charged Off","Defaulted"
1071,22050,13.11,"B","B4","10+ years",20716,67.9,707,"MORTGAGE",62000,"Source Verified","Fully Paid","Paid"
1072,12000,6.03,"A","A1","10+ years",2191,6.6,772,"MORTGAGE",65000,"Not Verified","Fully Paid","Paid"
1073,19000,12.69,"B","B5","10+ years",17258,55.9,712,"RENT",92000,"Not Verified","Fully Paid","Paid"
1074,10000,10.99,"B","B2","6 years",15011,43.5,692,"RENT",63000,"Not Verified","Charged Off","Defaulted"
1075,12800,7.62,"A","A3","10+ years",13799,26.9,797,"MORTGAGE",85000,"Not Verified","Fully Paid","Paid"
1076,10500,10.99,"B","B2","3 years",9018,35.5,682,"MORTGAGE",94000,"Not Verified","Fully Paid","Paid"
1077,2000,8.9,"A","A5","10+ years",2117,35.3,732,"OWN",36000,"Verified","Fully Paid","Paid"
1078,3000,8.9,"A","A5","2 years",21895,75,717,"MORTGAGE",42900,"Not Verified","Charged Off","Defaulted"
1079,4000,18.49,"D","D2",NA,0,NA,722,"RENT",25728,"Verified","Charged Off","Defaulted"
1080,7000,6.62,"A","A2","1 year",1707,41.6,737,"MORTGAGE",36000,"Source Verified","Fully Paid","Paid"
1081,2300,6.03,"A","A1","10+ years",46172,5,787,"OWN",116000,"Not Verified","Fully Paid","Paid"
1082,12950,13.11,"B","B4","5 years",29047,89.1,687,"OWN",40500,"Source Verified","Fully Paid","Paid"
1083,5000,19.52,"D","D4","3 years",10503,67.3,662,"RENT",35000,"Not Verified","Charged Off","Defaulted"
1084,9000,11.55,"B","B3","8 years",11889,58,697,"MORTGAGE",72000,"Not Verified","Fully Paid","Paid"
1085,20000,8.9,"A","A5","8 years",27622,26.5,752,"MORTGAGE",150000,"Verified","Fully Paid","Paid"
1086,5000,6.03,"A","A1","2 years",4379,19.5,762,"RENT",50000,"Not Verified","Fully Paid","Paid"
1087,10000,18.49,"D","D2","5 years",11652,91,662,"RENT",86000,"Verified","Charged Off","Defaulted"
1088,12000,15.1,"C","C2","< 1 year",6052,63,667,"OWN",41600,"Not Verified","Fully Paid","Paid"
1089,11600,14.33,"C","C1","3 years",13992,55.9,677,"RENT",45000,"Source Verified","Fully Paid","Paid"
1090,3600,21,"E","E2","9 years",8383,94.2,707,"RENT",110000,"Not Verified","Fully Paid","Paid"
1091,7200,8.9,"A","A5","< 1 year",6397,35,717,"MORTGAGE",42000,"Not Verified","Fully Paid","Paid"
1092,8875,18.75,"D","D3","6 years",3453,54,717,"MORTGAGE",65000,"Verified","Charged Off","Defaulted"
1093,7000,7.9,"A","A4","< 1 year",24158,59.5,732,"MORTGAGE",84232,"Source Verified","Fully Paid","Paid"
1094,11500,7.62,"A","A3","4 years",3014,47.8,727,"MORTGAGE",70000,"Verified","Fully Paid","Paid"
1095,9000,15.31,"C","C2","4 years",6041,39.5,682,"RENT",53528,"Not Verified","Fully Paid","Paid"
1096,26000,10.74,"B","B2","3 years",6693,51.9,737,"OWN",55000,"Verified","Fully Paid","Paid"
1097,14075,19.22,"D","D5","5 years",16473,55.8,672,"RENT",41000,"Not Verified","Fully Paid","Paid"
1098,16000,7.9,"A","A4","3 years",21319,62.7,752,"RENT",58000,"Not Verified","Fully Paid","Paid"
1099,14675,15.31,"C","C2","10+ years",9154,51.7,667,"RENT",56000,"Verified","Fully Paid","Paid"
1100,10600,11.55,"B","B3","2 years",16571,62.5,687,"RENT",42300,"Verified","Fully Paid","Paid"
1101,30075,15.8,"C","C3","< 1 year",17424,91.2,667,"MORTGAGE",70500,"Verified","Fully Paid","Paid"
1102,9500,13.11,"B","B4","10+ years",13263,81.4,682,"RENT",73000,"Not Verified","Fully Paid","Paid"
1103,13000,15.31,"C","C2","10+ years",11578,41.9,677,"MORTGAGE",82766.22,"Not Verified","Fully Paid","Paid"
1104,10000,8.9,"A","A5","1 year",1754,26.6,737,"RENT",150000,"Not Verified","Fully Paid","Paid"
1105,28000,8.9,"A","A5","8 years",7575,68.2,667,"MORTGAGE",80000,"Source Verified","Fully Paid","Paid"
1106,18000,10.64,"B","B2","10+ years",35198,59.3,687,"MORTGAGE",65000,"Verified","Fully Paid","Paid"
1107,9800,17.27,"C","C5","6 years",3863,52.9,667,"MORTGAGE",50000,"Verified","Fully Paid","Paid"
1108,3500,7.9,"A","A4","10+ years",2056,82.2,727,"RENT",33448,"Not Verified","Charged Off","Defaulted"
1109,16000,18.75,"D","D3","3 years",4014,87.3,672,"RENT",74000,"Not Verified","Fully Paid","Paid"
1110,6000,15.8,"C","C3","3 years",7862,64.4,682,"OWN",29282,"Not Verified","Fully Paid","Paid"
1111,12300,10.16,"B","B1","2 years",6245,96.1,727,"MORTGAGE",35905,"Verified","Fully Paid","Paid"
1112,1700,13.99,"C","C1","4 years",7382,55.6,677,"OWN",14400,"Not Verified","Fully Paid","Paid"
1113,9000,8.9,"A","A5","6 years",15070,64.4,717,"RENT",44200,"Not Verified","Fully Paid","Paid"
1114,7000,20.49,"E","E1","3 years",2008,41.8,662,"RENT",104000,"Not Verified","Charged Off","Defaulted"
1115,23275,17.1,"C","C5","3 years",16127,68.9,692,"RENT",75000,"Verified","Fully Paid","Paid"
1116,15000,11.14,"B","B2","2 years",19897,99.5,662,"MORTGAGE",235000,"Verified","Fully Paid","Paid"
1117,32000,15.22,"C","C3","9 years",15506,52.2,687,"MORTGAGE",88000,"Verified","Fully Paid","Paid"
1118,10000,14.09,"B","B5","6 years",23016,78.2,677,"RENT",80000,"Verified","Fully Paid","Paid"
1119,10000,8.9,"A","A5","3 years",37647,79.8,697,"RENT",150000,"Source Verified","Fully Paid","Paid"
1120,10000,8.9,"A","A5","10+ years",12929,83.4,717,"RENT",40000,"Source Verified","Fully Paid","Paid"
1121,7500,14.33,"C","C1","10+ years",19837,79.3,672,"OWN",85000,"Verified","Fully Paid","Paid"
1122,10000,11.14,"B","B2","10+ years",15070,69.4,687,"MORTGAGE",1e+05,"Not Verified","Fully Paid","Paid"
1123,6000,14.09,"B","B5","10+ years",10982,87.9,692,"MORTGAGE",57000,"Source Verified","Fully Paid","Paid"
1124,5000,13.67,"B","B5","5 years",4679,48.2,682,"MORTGAGE",59000,"Not Verified","Fully Paid","Paid"
1125,7500,15.88,"C","C4","3 years",8588,82.6,662,"MORTGAGE",129780,"Not Verified","Fully Paid","Paid"
1126,10000,13.05,"B","B5","2 years",16350,72.9,667,"RENT",131000,"Source Verified","Fully Paid","Paid"
1127,2500,9.76,"B","B1","10+ years",20721,41.6,712,"RENT",60000,"Not Verified","Fully Paid","Paid"
1128,3300,14.33,"C","C1",NA,6623,69.7,697,"RENT",20113.56,"Verified","Fully Paid","Paid"
1129,10000,12.12,"B","B3","2 years",5580,66.4,707,"RENT",23000,"Not Verified","Fully Paid","Paid"
1130,15000,15.31,"C","C2","10+ years",7051,62.4,697,"MORTGAGE",48000,"Source Verified","Fully Paid","Paid"
1131,24375,16.29,"C","C4","10+ years",62219,76.8,697,"MORTGAGE",154500,"Verified","Charged Off","Defaulted"
1132,7200,10.16,"B","B1","4 years",7225,34.7,707,"MORTGAGE",30000,"Verified","Fully Paid","Paid"
1133,12000,8.9,"A","A5","1 year",13806,49.3,677,"RENT",95000,"Not Verified","Fully Paid","Paid"
1134,14000,15.22,"C","C3","10+ years",7274,86.6,677,"MORTGAGE",40000,"Not Verified","Fully Paid","Paid"
1135,21200,19.05,"D","D4","10+ years",8063,68.3,667,"MORTGAGE",78000,"Verified","Charged Off","Defaulted"
1136,9450,15.22,"C","C3","10+ years",6396,88.8,692,"RENT",28042,"Not Verified","Fully Paid","Paid"
1137,7000,20.31,"D","D5","5 years",12843,74.2,672,"MORTGAGE",107000,"Verified","Charged Off","Defaulted"
1138,3000,15.31,"C","C2","6 years",9885,49.2,672,"MORTGAGE",45000,"Not Verified","Fully Paid","Paid"
1139,14000,8.9,"A","A5","10+ years",18161,23.9,727,"OWN",88000,"Source Verified","Charged Off","Defaulted"
1140,18000,18.49,"D","D2","2 years",27234,58.9,672,"MORTGAGE",165000,"Not Verified","Fully Paid","Paid"
1141,11325,17.76,"D","D1","4 years",4491,64.3,667,"RENT",42000,"Not Verified","Charged Off","Defaulted"
1142,15000,14.3,"C","C1","10+ years",94537,88.8,722,"RENT",96500,"Verified","Fully Paid","Paid"
1143,14000,10.99,"B","B2","< 1 year",19534,75.4,697,"RENT",85000,"Verified","Fully Paid","Paid"
1144,20000,12.12,"B","B3","2 years",27375,42.9,677,"RENT",175000,"Source Verified","Fully Paid","Paid"
1145,11000,10.99,"B","B2",NA,11011,52.2,662,"MORTGAGE",125000,"Verified","Fully Paid","Paid"
1146,9750,14.09,"B","B5","6 years",4913,70.2,687,"MORTGAGE",39000,"Verified","Fully Paid","Paid"
1147,2200,19.52,"D","D4","2 years",669,29.1,727,"RENT",38276,"Not Verified","Fully Paid","Paid"
1148,12375,18.49,"D","D2","2 years",7580,69.5,662,"RENT",39187,"Not Verified","Fully Paid","Paid"
1149,7000,8.9,"A","A5","10+ years",16755,55.7,702,"RENT",112000,"Not Verified","Fully Paid","Paid"
1150,6600,8.9,"A","A5","< 1 year",9398,62.7,717,"RENT",65000,"Source Verified","Fully Paid","Paid"
1151,10625,10.16,"B","B1","2 years",14974,94.8,757,"MORTGAGE",31000,"Verified","Fully Paid","Paid"
1152,2400,18.49,"D","D2","7 years",4587,72.8,677,"MORTGAGE",30000,"Not Verified","Fully Paid","Paid"
1153,10000,10.16,"B","B1","4 years",9973,19.7,732,"OWN",53500,"Source Verified","Fully Paid","Paid"
1154,10000,12.12,"B","B3","2 years",4766,66.2,712,"RENT",40000,"Not Verified","Fully Paid","Paid"
1155,7750,15.61,"C","C3","6 years",2108,60.2,702,"RENT",42000,"Not Verified","Charged Off","Defaulted"
1156,14550,14.33,"C","C1","10+ years",6740,42.7,692,"MORTGAGE",65000,"Not Verified","Fully Paid","Paid"
1157,15000,13.05,"B","B5","4 years",16219,34.1,702,"MORTGAGE",47000,"Verified","Charged Off","Defaulted"
1158,19600,6.97,"A","A2","10+ years",23561,33.2,737,"MORTGAGE",63000,"Not Verified","Fully Paid","Paid"
1159,10000,15.31,"C","C2","8 years",26146,90.8,697,"MORTGAGE",78000,"Verified","Fully Paid","Paid"
1160,10375,8.9,"A","A5","1 year",17051,35.3,747,"RENT",31200,"Verified","Fully Paid","Paid"
1161,17500,7.9,"A","A4","10+ years",31953,36.6,727,"OWN",65000,"Not Verified","Fully Paid","Paid"
1162,12000,10.99,"B","B2","7 years",11250,56.8,697,"MORTGAGE",72000,"Source Verified","Fully Paid","Paid"
1163,24250,6.62,"A","A2","8 years",37,0.7,717,"MORTGAGE",127802,"Verified","Fully Paid","Paid"
1164,7800,8.9,"A","A5","< 1 year",5541,64.4,722,"RENT",22800,"Source Verified","Fully Paid","Paid"
1165,5000,7.9,"A","A4",NA,15502,61.3,727,"MORTGAGE",50000,"Source Verified","Fully Paid","Paid"
1166,5800,14.33,"C","C1","2 years",4901,30.8,667,"RENT",62550,"Not Verified","Fully Paid","Paid"
1167,4000,19.05,"D","D4","1 year",5272,62.8,667,"RENT",48000,"Not Verified","Fully Paid","Paid"
1168,11000,15.31,"C","C2","7 years",11160,79.7,682,"MORTGAGE",60000,"Not Verified","Fully Paid","Paid"
1169,1000,13.11,"B","B4","10+ years",12284,86.5,692,"RENT",45000,"Not Verified","Fully Paid","Paid"
1170,7000,11.14,"B","B2","10+ years",13169,96.1,717,"MORTGAGE",68000,"Verified","Fully Paid","Paid"
1171,18000,7.62,"A","A3","7 years",9275,11.8,757,"MORTGAGE",90000,"Verified","Fully Paid","Paid"
1172,35000,11.14,"B","B2","7 years",20508,15.3,782,"MORTGAGE",135000,"Source Verified","Fully Paid","Paid"
1173,4800,13.11,"B","B4",NA,18385,72.7,672,"RENT",39000,"Verified","Fully Paid","Paid"
1174,12600,17.27,"C","C5","10+ years",5639,85.4,667,"MORTGAGE",55000,"Verified","In Grace Period","Defaulted"
1175,2400,13.67,"B","B5","5 years",3359,25.3,687,"RENT",90000,"Source Verified","Fully Paid","Paid"
1176,16000,15.8,"C","C3","< 1 year",27555,89.5,667,"RENT",85000,"Source Verified","Fully Paid","Paid"
1177,8875,11.14,"B","B2","8 years",20922,38.5,722,"MORTGAGE",55000,"Verified","Fully Paid","Paid"
1178,18000,11.14,"B","B2","2 years",28941,47.5,697,"RENT",70000,"Not Verified","Fully Paid","Paid"
1179,11000,8.9,"A","A5","< 1 year",11478,47.4,692,"RENT",37000,"Not Verified","Fully Paid","Paid"
1180,7550,17.76,"D","D1","5 years",6972,58.1,667,"MORTGAGE",50000,"Not Verified","Fully Paid","Paid"
1181,14675,13.11,"B","B4","10+ years",17930,35.1,697,"MORTGAGE",53000,"Verified","Fully Paid","Paid"
1182,16000,11.14,"B","B2","2 years",18642,72,677,"RENT",96000,"Not Verified","Fully Paid","Paid"
1183,12800,11.14,"B","B2","7 years",7752,30.5,702,"MORTGAGE",92000,"Not Verified","Fully Paid","Paid"
1184,3375,18.75,"D","D3",NA,6312,70.9,662,"MORTGAGE",26000,"Verified","Fully Paid","Paid"
1185,7000,6.03,"A","A1","2 years",865,16.3,787,"MORTGAGE",58000,"Not Verified","Fully Paid","Paid"
1186,6500,16.29,"C","C4","3 years",4105,27.4,667,"RENT",35000,"Source Verified","Charged Off","Defaulted"
1187,8000,17.77,"D","D1",NA,11815,91.6,677,"RENT",45000,"Source Verified","Fully Paid","Paid"
1188,10000,11.55,"B","B3","4 years",11001,65.1,707,"MORTGAGE",45000,"Not Verified","Fully Paid","Paid"
1189,3600,15.31,"C","C2","10+ years",14346,48.6,672,"RENT",67000,"Not Verified","Fully Paid","Paid"
1190,6000,13.98,"C","C1","6 years",6813,90.8,662,"RENT",77000,"Verified","Fully Paid","Paid"
1191,10000,17.58,"D","D4","3 years",9864,96.7,667,"MORTGAGE",72540,"Verified","Fully Paid","Paid"
1192,29000,15.8,"C","C3","8 years",33869,90.3,667,"MORTGAGE",74500,"Verified","Fully Paid","Paid"
1193,14000,14.33,"C","C1","9 years",11529,43.5,662,"RENT",52000,"Verified","Fully Paid","Paid"
1194,6400,7.9,"A","A4","10+ years",6764,27.2,712,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
1195,7200,12.12,"B","B3","3 years",8564,81.6,697,"MORTGAGE",90000,"Not Verified","Fully Paid","Paid"
1196,6500,6.03,"A","A1","4 years",1039,3.3,787,"RENT",32000,"Not Verified","Fully Paid","Paid"
1197,9925,14.33,"C","C1","9 years",20544,51.1,692,"MORTGAGE",53000,"Verified","Fully Paid","Paid"
1198,10000,14.27,"C","C2","10+ years",22707,92.7,677,"OWN",45000,"Source Verified","Fully Paid","Paid"
1199,6000,13.11,"B","B4","8 years",6834,54.7,767,"RENT",91000,"Not Verified","Fully Paid","Paid"
1200,13700,11.14,"B","B2",NA,4174,39.8,672,"MORTGAGE",66000,"Source Verified","Fully Paid","Paid"
1201,7125,18.49,"D","D2","4 years",4455,31.6,677,"MORTGAGE",72000,"Verified","Charged Off","Defaulted"
1202,5500,10.99,"B","B2","< 1 year",8436,41.2,677,"RENT",23080,"Not Verified","Fully Paid","Paid"
1203,12000,17.1,"C","C5","5 years",9766,55.2,677,"RENT",70000,"Not Verified","Fully Paid","Paid"
1204,25000,14.65,"C","C2","5 years",10641,44.7,712,"RENT",71540,"Verified","Fully Paid","Paid"
1205,17600,10.16,"B","B1","5 years",21985,53.4,697,"MORTGAGE",50250,"Not Verified","Charged Off","Defaulted"
1206,20400,19.22,"D","D5","1 year",14589,88.1,667,"MORTGAGE",100600,"Verified","Fully Paid","Paid"
1207,16000,10.99,"B","B2","6 years",35095,87.5,692,"MORTGAGE",80000,"Not Verified","Fully Paid","Paid"
1208,13000,9.99,"B","B1","7 years",15618,57.2,717,"RENT",48000,"Not Verified","Charged Off","Defaulted"
1209,10000,6.03,"A","A1","3 years",11394,21.7,757,"RENT",36000,"Not Verified","Fully Paid","Paid"
1210,16800,6.62,"A","A2","8 years",13470,29.7,802,"OWN",193000,"Not Verified","Fully Paid","Paid"
1211,24000,7.9,"A","A4","8 years",21490,37.5,732,"MORTGAGE",75000,"Verified","Fully Paid","Paid"
1212,14000,17.58,"D","D4","< 1 year",14813,58.3,662,"RENT",90000,"Source Verified","Fully Paid","Paid"
1213,12000,9.99,"B","B1","8 years",13333,83.9,692,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
1214,10000,10.99,"B","B2","10+ years",19491,63.3,697,"RENT",77000,"Source Verified","Fully Paid","Paid"
1215,7200,12.99,"B","B4","6 years",4979,83,672,"MORTGAGE",50000,"Verified","Fully Paid","Paid"
1216,27200,16.24,"C","C5","9 years",21142,94.4,667,"MORTGAGE",87000,"Source Verified","Fully Paid","Paid"
1217,3500,19.52,"D","D4","7 years",18308,94.5,662,"RENT",40500,"Not Verified","Fully Paid","Paid"
1218,28000,8.9,"A","A5","10+ years",13110,41,732,"MORTGAGE",150000,"Verified","Fully Paid","Paid"
1219,18000,6.62,"A","A2","2 years",6551,13.6,802,"MORTGAGE",50000,"Not Verified","Fully Paid","Paid"
1220,17425,7.9,"A","A4","7 years",11687,14.7,747,"MORTGAGE",40000,"Not Verified","Fully Paid","Paid"
1221,9600,12.12,"B","B3","8 years",4712,33.9,712,"RENT",30000,"Not Verified","Fully Paid","Paid"
1222,1500,8.9,"A","A5","7 years",842,93.6,722,"RENT",1e+05,"Source Verified","Fully Paid","Paid"
1223,15000,8.9,"A","A5","7 years",11404,51.4,717,"RENT",60000,"Not Verified","Fully Paid","Paid"
1224,15000,9.71,"B","B1","3 years",28803,51.8,727,"MORTGAGE",135000,"Not Verified","Fully Paid","Paid"
1225,26000,12.35,"B","B4","3 years",5742,6.8,787,"MORTGAGE",140000,"Verified","Fully Paid","Paid"
1226,8000,13.11,"B","B4","5 years",8095,63.2,682,"RENT",25000,"Not Verified","Charged Off","Defaulted"
1227,10000,11.14,"B","B2","8 years",9350,58.4,717,"MORTGAGE",76000,"Source Verified","Fully Paid","Paid"
1228,25000,13.99,"C","C1","10+ years",29056,88.3,702,"OWN",65000,"Verified","Fully Paid","Paid"
1229,11000,13.11,"B","B4","10+ years",11167,37.1,682,"RENT",88000,"Not Verified","Fully Paid","Paid"
1230,12000,13.68,"C","C1","< 1 year",10638,80,687,"RENT",87500,"Not Verified","Fully Paid","Paid"
1231,1000,14.09,"B","B5","2 years",7160,50.1,692,"RENT",12000,"Not Verified","Fully Paid","Paid"
1232,24375,13.11,"B","B4","10+ years",20758,91.2,697,"MORTGAGE",55000,"Verified","Charged Off","Defaulted"
1233,13900,15.22,"C","C3","6 years",5951,66.9,697,"MORTGAGE",104000,"Not Verified","Fully Paid","Paid"
1234,14125,14.09,"B","B5","7 years",15380,89.9,682,"MORTGAGE",45000,"Verified","Charged Off","Defaulted"
1235,10975,11.55,"B","B3","10+ years",14751,69.6,702,"MORTGAGE",32635,"Source Verified","Fully Paid","Paid"
1236,15000,15.8,"C","C3","7 years",11868,57.3,692,"RENT",70000,"Not Verified","Fully Paid","Paid"
1237,5000,17.77,"D","D1","3 years",5975,44.3,672,"RENT",45000,"Not Verified","Fully Paid","Paid"
1238,10150,12.12,"B","B3","4 years",11651,44.8,692,"RENT",48000,"Source Verified","Fully Paid","Paid"
1239,6000,11.14,"B","B2","1 year",2588,25.1,707,"RENT",70000,"Not Verified","Fully Paid","Paid"
1240,9000,11.14,"B","B2","5 years",8076,64.6,707,"RENT",44000,"Not Verified","Fully Paid","Paid"
1241,9000,11.99,"B","B3","8 years",8478,70.1,682,"MORTGAGE",72000,"Verified","Fully Paid","Paid"
1242,16000,12.12,"B","B3","3 years",5124,55.1,702,"OWN",48000,"Verified","Fully Paid","Paid"
1243,2500,6.03,"A","A1","< 1 year",67406,7.7,777,"MORTGAGE",96000,"Source Verified","Fully Paid","Paid"
1244,8000,17.56,"D","D1","2 years",17311,63.6,687,"RENT",62000,"Source Verified","Charged Off","Defaulted"
1245,2525,16.78,"C","C5",NA,9620,25.2,767,"MORTGAGE",28000,"Verified","Fully Paid","Paid"
1246,12600,7.62,"A","A3","3 years",12560,46,712,"RENT",1e+05,"Source Verified","Fully Paid","Paid"
1247,22000,13.11,"B","B4","< 1 year",15424,44.8,692,"RENT",72583.24,"Verified","Fully Paid","Paid"
1248,16800,15.22,"C","C3","10+ years",13608,93.2,707,"RENT",66820,"Source Verified","Charged Off","Defaulted"
1249,14625,6.62,"A","A2","10+ years",5642,15.4,787,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
1250,10000,18.85,"D","D3","6 years",7064,81.2,662,"RENT",45000,"Not Verified","Late (31-120 days)","Defaulted"
1251,8000,15.88,"C","C4","2 years",4951,85.4,667,"RENT",42000,"Verified","Charged Off","Defaulted"
1252,23000,11.99,"B","B3","6 years",16568,73,717,"MORTGAGE",101000,"Source Verified","Fully Paid","Paid"
1253,4000,14.3,"C","C1",NA,9577,62.2,677,"MORTGAGE",49850,"Source Verified","Fully Paid","Paid"
1254,9000,11.14,"B","B2","2 years",9009,44.4,712,"RENT",54000,"Not Verified","Fully Paid","Paid"
1255,9600,15.31,"C","C2","6 years",43744,59.4,687,"MORTGAGE",120000,"Not Verified","Charged Off","Defaulted"
1256,12000,11.14,"B","B2","8 years",14375,61.4,682,"MORTGAGE",1e+05,"Not Verified","Fully Paid","Paid"
